steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,4200,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,7550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5050,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,300,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,300,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,400,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,4800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,6950,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7150,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,4750,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7150,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,4350,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,4800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,3100,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,3100,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7350,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,3050,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4650,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Counter Terrorist,950,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Counter Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Counter Terrorist,400,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Terrorist,900,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Counter Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Counter Terrorist,950,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Counter Terrorist,4100,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Counter Terrorist,3550,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Terrorist,2850,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Terrorist,2850,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
