name,team,match_checksum,tournament
FaZe Clan,Team A,1c4087b5b67b4893,Perfect World Shanghai Major 2024
G2 Esports,Team B,1c4087b5b67b4893,Perfect World Shanghai Major 2024
G2 Esports,Team A,a1b3c609bf8137ee,Perfect World Shanghai Major 2024
HEROIC,Team B,a1b3c609bf8137ee,Perfect World Shanghai Major 2024
HEROIC,Team A,78951c54d5b89f43,Perfect World Shanghai Major 2024
G2 Esports,Team B,78951c54d5b89f43,Perfect World Shanghai Major 2024
G2 Esports,Team A,741ea759430310d5,Perfect World Shanghai Major 2024
HEROIC,Team B,741ea759430310d5,Perfect World Shanghai Major 2024
G2 Esports,Team A,be7592a0ed336b74,Perfect World Shanghai Major 2024
The MongolZ,Team B,be7592a0ed336b74,Perfect World Shanghai Major 2024
GamerLegion,Team A,ac8e5c6252db1914,Perfect World Shanghai Major 2024
Wildcard,Team B,ac8e5c6252db1914,Perfect World Shanghai Major 2024
Wildcard,Team A,972dbb55aad22b11,Perfect World Shanghai Major 2024
GamerLegion,Team B,972dbb55aad22b11,Perfect World Shanghai Major 2024
Wildcard,Team A,8f9b843b6ca827f0,Perfect World Shanghai Major 2024
GamerLegion,Team B,8f9b843b6ca827f0,Perfect World Shanghai Major 2024
HEROIC,Team A,1eaf60db2b3ea175,Perfect World Shanghai Major 2024
BIG,Team B,1eaf60db2b3ea175,Perfect World Shanghai Major 2024
Natus Vincere,Team A,a607bf54206a996f,Perfect World Shanghai Major 2024
HEROIC,Team B,a607bf54206a996f,Perfect World Shanghai Major 2024
HEROIC,Team A,d04c778ce7c7c19d,Perfect World Shanghai Major 2024
Natus Vincere,Team B,d04c778ce7c7c19d,Perfect World Shanghai Major 2024
Natus Vincere,Team A,de81313f67acf632,Perfect World Shanghai Major 2024
HEROIC,Team B,de81313f67acf632,Perfect World Shanghai Major 2024
Team Liquid,Team A,35caae1cd19b2165,Perfect World Shanghai Major 2024
GamerLegion,Team B,35caae1cd19b2165,Perfect World Shanghai Major 2024
Team Liquid,Team A,a9726820737c06ab,Perfect World Shanghai Major 2024
MIBR,Team B,a9726820737c06ab,Perfect World Shanghai Major 2024
Team Liquid,Team A,550b985a66c74143,Perfect World Shanghai Major 2024
MIBR,Team B,550b985a66c74143,Perfect World Shanghai Major 2024
Team Liquid,Team A,e2c504ef47a8744b,Perfect World Shanghai Major 2024
MIBR,Team B,e2c504ef47a8744b,Perfect World Shanghai Major 2024
MIBR,Team A,784c2b49e66c4b7d,Perfect World Shanghai Major 2024
MOUZ,Team B,784c2b49e66c4b7d,Perfect World Shanghai Major 2024
MOUZ,Team A,d6eb00837fac017d,Perfect World Shanghai Major 2024
MIBR,Team B,d6eb00837fac017d,Perfect World Shanghai Major 2024
MOUZ,Team A,9ce52500e7bd6ed8,Perfect World Shanghai Major 2024
3DMAX,Team B,9ce52500e7bd6ed8,Perfect World Shanghai Major 2024
3DMAX,Team A,fb582ab0d92b58af,Perfect World Shanghai Major 2024
MOUZ,Team B,fb582ab0d92b58af,Perfect World Shanghai Major 2024
MOUZ,Team A,c41bd8610a8ab9b6,Perfect World Shanghai Major 2024
FaZe Clan,Team B,c41bd8610a8ab9b6,Perfect World Shanghai Major 2024
MOUZ,Team A,ee67dce02c26b312,Perfect World Shanghai Major 2024
paiN Gaming,Team B,ee67dce02c26b312,Perfect World Shanghai Major 2024
Team Spirit,Team A,1ec3d3f6cf6f10be,Perfect World Shanghai Major 2024
MOUZ,Team B,1ec3d3f6cf6f10be,Perfect World Shanghai Major 2024
MOUZ,Team A,ab30e6c6bb29f880,Perfect World Shanghai Major 2024
Team Spirit,Team B,ab30e6c6bb29f880,Perfect World Shanghai Major 2024
Team Spirit,Team A,d538f36cb94c95e3,Perfect World Shanghai Major 2024
MOUZ,Team B,d538f36cb94c95e3,Perfect World Shanghai Major 2024
MOUZ,Team A,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
The MongolZ,Team B,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
Natus Vincere,Team A,b2e2a4d89e1c7d63,Perfect World Shanghai Major 2024
GamerLegion,Team B,b2e2a4d89e1c7d63,Perfect World Shanghai Major 2024
Natus Vincere,Team A,4f38eb5b1d370d88,Perfect World Shanghai Major 2024
GamerLegion,Team B,4f38eb5b1d370d88,Perfect World Shanghai Major 2024
Natus Vincere,Team A,c15cf089fc3e505a,Perfect World Shanghai Major 2024
Team Liquid,Team B,c15cf089fc3e505a,Perfect World Shanghai Major 2024
Natus Vincere,Team A,993a3866aec86821,Perfect World Shanghai Major 2024
MIBR,Team B,993a3866aec86821,Perfect World Shanghai Major 2024
Natus Vincere,Team A,614394a2c0c3e48,Perfect World Shanghai Major 2024
Team Spirit,Team B,614394a2c0c3e48,Perfect World Shanghai Major 2024
Team Spirit,Team A,25f8330ee031d4c5,Perfect World Shanghai Major 2024
FaZe Clan,Team B,25f8330ee031d4c5,Perfect World Shanghai Major 2024
FaZe Clan,Team A,ae8acf53d96c9a40,Perfect World Shanghai Major 2024
